iata,name,city,state,country
SBA,Santa Barbara Municipal Airport,Santa Barbara,California,US
SBD,San Bernardino International Airport,San Bernardino,California,US
SBM,Sheboygan County Memorial Airport,Sheboygan,Wisconsin,US
SBN,South Bend International Airport,South Bend,Indiana,US
SBP,San Luis Obispo County Regional Airport,San Luis Obispo,California,US
SBS,Steamboat Springs/Bob Adams Field,Steamboat Springs,Colorado,US
SBX,Shelby Airport,Shelby,Montana,US
SBY,Salisbury-Ocean City Wicomico Regional Airport,Salisbury,Maryland,US
SCB,Scribner State Airport,Scribner,Nebraska,US
SCH,Schenectady County Airport,Schenectady,New York,US
SCK,Stockton Metro Airport,Stockton,California,US
SDF,Louisville Muhammad Ali International Airport,Louisville,Kentucky,US
SCF,Scottsdale Airport,Scottsdale,Arizona,US
SDM,Brown Field Municipal Airport,San Diego,California,US
SDY,Sidney-Richland Regional Airport,Sidney,Montana,US
SEA,Seattle-Tacoma International Airport,Seattle,Washington,US
SEE,Gillespie Field,San Diego/El Cajon,California,US
SEF,Sebring Regional Airport,Sebring,Florida,US
SEG,Penn Valley Airport,Selinsgrove,Pennsylvania,US
SEM,Craig Field,Selma,Alabama,US
SEP,Stephenville Clark Regional Airport,Stephenville,Texas,US
SER,Freeman Municipal Airport,Seymour,Indiana,US
SDX,Sedona Airport,Sedona,Arizona,US
SFB,Orlando Sanford International Airport,Orlando,Florida,US
SFF,Felts Field,Spokane,Washington,US
SFM,Sanford Seacoast Regional Airport,Sanford,Maine,US
SFO,San Francisco International Airport,San Francisco,California,US
SFZ,North Central State Airport,Pawtucket,Rhode Island,US
SGF,Springfield-Branson Ntl Airport,Springfield,Missouri,US
SGH,Springfield/Beckley Municipal Airport,Springfield,Ohio,US
UST,Northeast Florida Regional Airport,St Augustine,Florida,US
SGR,Sugar Land Regional Airport,Houston,Texas,US
SGT,Stuttgart Municipal Carl Humphrey Field,Stuttgart,Arkansas,US
SGU,St George Regional Airport,St George,Utah,US
SHD,Shenandoah Valley Regional Airport,Staunton/Waynesboro/Harrisonburg,Virginia,US
SHN,Sanderson Field,Shelton,Washington,US
SHR,Sheridan County Airport,Sheridan,Wyoming,US
SHV,Shreveport Regional Airport,Shreveport,Louisiana,US
SIK,Sikeston Memorial Municipal Airport,Sikeston,Missouri,US
SIV,Sullivan County Airport,Sullivan,Indiana,US
SIY,Siskiyou County Airport,Montague,California,US
SJC,Norman Y Mineta San Jose International Airport,San Jose,California,US
SJN,St Johns Industrial Air Park,St Johns,Arizona,US
SJT,San Angelo Regional/Mathis Field,San Angelo,Texas,US
SKA,Fairchild Afb Airport,Spokane,Washington,US
SKF,Kelly Field,San Antonio,Texas,US
TSM,Taos Regional Airport,Taos,New Mexico,US
SLB,Storm Lake Municipal Airport,Storm Lake,Iowa,US
SLC,Salt Lake City International Airport,Salt Lake City,Utah,US
SLE,Mcnary Field,Salem,Oregon,US
SLG,Smith Field,Siloam Springs,Arkansas,US
SLK,Adirondack Regional Airport,Saranac Lake,New York,US
SLN,Salina Regional Airport,Salina,Kansas,US
SLO,Salem-Leckrone Airport,Salem,Illinois,US
SLR,Sulphur Springs Municipal Airport,Sulphur Springs,Texas,US
SMD,Smith Field,Fort Wayne,Indiana,US
SME,Lake Cumberland Regional Airport,Somerset,Kentucky,US
SMF,Sacramento International Airport,Sacramento,California,US
SMN,Lemhi County Airport,Salmon,Idaho,US
SMO,Santa Monica Municipal Airport,Santa Monica,California,US
SUM,Sumter Airport,Sumter,South Carolina,US
SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,California,US
SNA,John Wayne/Orange County Airport,Santa Ana,California,US
SNK,Winston Field,Snyder,Texas,US
SNL,Shawnee Regional Airport,Shawnee,Oklahoma,US
SNS,Salinas Municipal Airport,Salinas,California,US
SNY,Sidney Municipal/Lloyd W Carr Field,Sidney,Nebraska,US
SOP,Moore County Airport,Pinehurst/Southern Pines,North Carolina,US
SOW,Show Low Regional Airport,Show Low,Arizona,US
SPA,Spartanburg Downtown Memorial/Simpson Field,Spartanburg,South Carolina,US
SPF,Black Hills-Clyde Ice Field,Spearfish,South Dakota,US
SPG,Albert Whitted Airport,St Petersburg,Florida,US
SPI,Abraham Lincoln Capital Airport,Springfield,Illinois,US
SPS,Sheppard Afb/Wichita Falls Municipal Airport,Wichita Falls,Texas,US
SPW,Spencer Municipal Airport,Spencer,Iowa,US
SQI,Whiteside County/Jos H Bittorf Field,Sterling/Rockfalls,Illinois,US
SQL,San Carlos Airport,San Carlos,California,US
SRC,Searcy Regional Airport,Searcy,Arkansas,US
SRQ,Sarasota/Bradenton International Airport,Sarasota/Bradenton,Florida,US
RUI,Sierra Blanca Regional Airport,Ruidoso,New Mexico,US
SRV,Stony River 2 Airport,Stony River,Alaska,US
SSC,Shaw Afb Airport,Sumter,South Carolina,US
SSF,Stinson Municipal Airport,San Antonio,Texas,US
SSI,St Simons Island Airport,St Simons Island,Georgia,US
STC,St Cloud Regional Airport,St Cloud,Minnesota,US
STE,Stevens Point Municipal Airport,Stevens Point,Wisconsin,US
STJ,Rosecrans Memorial Airport,St Joseph,Missouri,US
STK,Sterling Municipal Airport,Sterling,Colorado,US
STL,St Louis Lambert International Airport,St Louis,Missouri,US
STP,St Paul Downtown Holman Field,St Paul,Minnesota,US
STS,Charles M Schulz - Sonoma County Airport,Santa Rosa,California,US
SUA,Witham Field,Stuart,Florida,US
SUD,Stroud Municipal Airport,Stroud,Oklahoma,US
SUE,Door County Cherryland Airport,Sturgeon Bay,Wisconsin,US
SUN,Friedman Memorial Airport,Hailey,Idaho,US
SUS,Spirit Of St Louis Airport,St Louis,Missouri,US
SUU,Travis Afb Airport,Fairfield,California,US
SUW,Richard I Bong Airport,Superior,Wisconsin,US
SUX,Sioux Gateway/Brig General Bud Day Field,Sioux City,Iowa,US
SVC,Grant County Airport,Silver City,New Mexico,US
SVE,Susanville Municipal Airport,Susanville,California,US
SVH,Statesville Regional Airport,Statesville,North Carolina,US
SVN,Hunter Army Air Field,Savannah,Georgia,US
SWF,New York Stewart International Airport,New York,New York,US
SWO,Stillwater Regional Airport,Stillwater,Oklahoma,US
SWW,Avenger Field,Sweetwater,Texas,US
SXP,Nunam Iqua Airport,Nunam Iqua,Alaska,US
SYI,Bomar Field/Shelbyville Municipal Airport,Shelbyville,Tennessee,US
SYN,Stanton Airfield,Stanton,Minnesota,US
SYR,Syracuse Hancock International Airport,Syracuse,New York,US
SYV,Sylvester Airport,Sylvester,Georgia,US
SZL,Whiteman Afb Airport,Knob Noster,Missouri,US
SZP,Santa Paula Airport,Santa Paula,California,US
TBC,Tuba City Airport,Tuba City,Arizona,US
TAD,Perry Stokes Airport,Trinidad,Colorado,US
TBN,Waynesville-St Robert Regional Forney Field,Fort Leonard Wood,Missouri,US
TBR,Statesboro-Bulloch County Airport,Statesboro,Georgia,US
TCC,Tucumcari Municipal Airport,Tucumcari,New Mexico,US
TCL,Tuscaloosa Ntl Airport,Tuscaloosa,Alabama,US
TCM,Mcchord Field (Joint Base Lewis-Mcchord) Airport,Tacoma,Washington,US
